"name","approx_cost(for two people)","online_order","book_table","rest_type","listed_in(type)","listed_in(city)","dish_liked","cuisines","rate"
"Decker's Lane",400,1,0,"Quick Bites","Dine-out","Brookefield","Rolls, Rasgulla, Fish Fry, Bhetki Paturi, Mutton Kosha, Veg Thali, Luchi","Bengali","2"
"Thalassery Restaurant",500,1,0,"Quick Bites","Dine-out","Brookefield","Coffee, Kerala Parotta, Thalassery Dum Biriyani, Appam, Noodles, Malabari Biryani, Thalassery Chicken Curry","Kerala, Biryani, South Indian, North Indian, Chinese, Arabian, Beverages","3"
"Friendz Zone",400,1,0,"Quick Bites","Dine-out","Brookefield","Chai","North Indian, Street Food","4"
"Desi Khana",300,1,0,"Quick Bites","Dine-out","Brookefield","Dal Makhani, Paneer Thali","North Indian","3"
"Cafe of Joy",600,0,0,"Casual Dining","Dine-out","Brookefield","Breads, Cappuccino, Cheesecake","Continental","4"
"Elements - Mapple Express",600,0,0,"Casual Dining","Dine-out","Brookefield","Noodles, Salad","North Indian, Chinese, Fast Food","3"
"Friends Diner",700,1,0,"Casual Dining","Dine-out","Brookefield","Chicken Steak, Cheese Balls","Continental, Italian, Pizza","3"
"U.P. Dhaba",350,1,0,"Quick Bites","Dine-out","Brookefield","Paratha, Paneer Thali, Tandoori Roti, Chole Bhature","North Indian, Chinese","3"
"Desi Doze",400,1,0,"Quick Bites","Dine-out","Brookefield","Lassi, Paratha, Chaach, Chole Bhature, Thali","North Indian, Fast Food","4"
"Ammi's Biryani",500,0,0,"Quick Bites","Dine-out","Brookefield","Chicken Guntur, Vegetable Biryani, Executive Chicken Biryani, Mutton Biryani, Hyderabadi Chicken Biryani","Biryani, North Indian","2"
"Prajwal The Restaurant",300,0,0,"Quick Bites","Dine-out","Brookefield","Paratha, Thali","North Indian","3"
"Rolls Plaza",200,1,0,"Quick Bites","Dine-out","Brookefield","Rolls, Rice, Biryani","Fast Food, Chinese, Rolls","4"
"Udupi Grand",450,0,0,"Quick Bites","Dine-out","Brookefield","Filter Coffee, Idli, Vada, Masala Dosa, Tea, Pongal, Plain Dosa","South Indian, North Indian, Chinese","3"
"Kailash Parbat",400,0,0,"Food Court","Dine-out","Brookefield","Chaat, Gulab Jamun, Raj Kachori, Chole, Bhel Puri, Biryani, Veg Thali","North Indian","3"
"Breakfast House",300,0,0,"Quick Bites","Dine-out","Brookefield","Coffee, Vada, Mla Dosa","South Indian, North Indian","4"
"Bageecha",650,1,0,"Casual Dining","Dine-out","Brookefield","Schezwan Chicken, Butter Chicken, Beer, Onion Pakoda, Tandoori Chicken, Dal Makhani, Lemon Chicken","North Indian, Chinese","2"
"NYS Kitchen",500,1,0,"Quick Bites","Dine-out","Brookefield","Pasta","North Indian, Chinese","4"
"Ande Ka Funda",250,1,0,"Quick Bites","Dine-out","Brookefield","Paratha, Lassi, Rolls","North Indian, Fast Food, Rolls","3"
"Haveli",700,1,0,"Casual Dining","Dine-out","Brookefield","Biryani","Biryani, North Indian, Mughlai","4"
"Happy Kitchen",350,0,0,"Quick Bites","Dine-out","Brookefield","Biryani, Idli, Vada, Chicken Curry","North Indian, Chinese","4"
"New Tandoori Point",600,1,0,"Casual Dining","Dine-out","Brookefield","Biryani, Tandoori Chicken","North Indian, Chinese","2"
"Indian Tadka",700,1,0,"Food Court","Dine-out","Brookefield","Rice, Paratha, Chicken Tikka Biryani, Tandoori Chicken, Lassi, Dal Makhani, Punjabi Veg Thali","North Indian","4"
"Noibidya",400,0,0,"Quick Bites","Dine-out","Brookefield","Fish","North Indian, Bengali","4"
"The Bawarchi",700,1,0,"Casual Dining","Dine-out","Brookefield","Hyderabadi Biryani, Roti, Chicken Dum Biryani, Pepper Chicken, Chicken Masala, Gongura Chicken, Veg Platter","Hyderabadi, North Indian, Chinese, Biryani","3"
"Lassi Corner",250,1,0,"Beverage Shop, Quick Bites","Dine-out","Brookefield","Sandwiches, Lassi, Berry Delight, Faluda, Oreo Shake","Beverages, Sandwich","3"
"The Grilled & Fried",300,1,0,"Quick Bites","Dine-out","Brookefield","Burgers, Chicken Fries, Chicken Grill, Hot Wings, Chicken Roll","Fast Food","3"
"Mega Bite",1100,0,1,"Casual Dining","Dine-out","Brookefield","Breakfast Buffet, Paratha, Rice","North Indian, Chinese, South Indian, Continental","4"
"Dil Punjabi",300,1,0,"Quick Bites","Dine-out","Brookefield","Paratha","North Indian","3"
"Damodar Seth",600,1,0,"Casual Dining","Dine-out","Brookefield","Thali, Fish Fry, Alur Dom, Aalo Bhaja","Bengali, Chinese, North Indian","3"
"Wangs Kitchen",1000,1,0,"Casual Dining","Dine-out","Brookefield","Noodles, Spring Roll, Kung Pao Chicken, Lamb, Sweet Corn Soup, Fish, Manchow Soup","Chinese","3"
"Imperia Restaurant",500,1,0,"Casual Dining","Dine-out","Brookefield","Chicken Grill, Biryani","North Indian, Chinese, Arabian, Biryani, Fast Food","2"
"Gilly's Restobar",1200,0,1,"Pub, Casual Dining","Drinks & nightlife","Brookefield","Mutton Biryani, Drunken Chicken, Chicken Biryani, Beer, Cocktails, Pasta, Onion Rings","Continental, Finger Food, North Indian, Chinese","4"
"Sherlock's Pub",1500,1,1,"Pub, Casual Dining","Drinks & nightlife","Brookefield","Pasta, Beer, Pepper Chicken, Onion Rings, Mocktails, Supreme Pizza, Fish Finger","Continental, North Indian, Chinese","4"
"Biergarten",2400,0,1,"Microbrewery, Pub","Drinks & nightlife","Brookefield","Wheat Beer, Risotto, Craft Beer, Caesar Salad, Pizza, Biryani, Cheesy Garlic Bread","Continental, European, BBQ, Chinese, Asian","5"
"Windmills Craftworks",2500,0,0,"Microbrewery, Pub","Drinks & nightlife","Brookefield","Keema Pav, Cocktails, Craft Beer, Pork Chops, Mocktails, Hefeweizen, Nachos","American, North Indian, Salad","5"
"HQ",1000,0,1,"Casual Dining, Bar","Drinks & nightlife","Brookefield","Mocktails, Pizza, Crispy Chicken, Nachos, Crispy Onion Rings, Masala Peanuts, Beer","North Indian, Italian, Finger Food, Continental","4"
"Pablo's Gastrobar",1450,0,0,"Bar","Drinks & nightlife","Brookefield","Cocktails, Beer, Potato Wedges, Pizza, Long Island Iced Tea, Peri Peri Fries, Chilli Chicken","Finger Food, American, Asian, Italian","4"
"M Bar - Bengaluru Marriott Hotel Whitefield",2000,0,0,"Fine Dining, Bar","Drinks & nightlife","Brookefield","Rooftop Ambience","Finger Food","4"
"Paprica",1200,1,0,"Casual Dining, Bar","Drinks & nightlife","Brookefield","Mocktails, Gulab Jamun, Chilli Chicken, Biryani, Lunch Buffet","North Indian, Chinese","3"
"AB's - Absolute Barbecues",1600,0,1,"Casual Dining","Buffet","BTM","Tangdi Chicken, Bbq Buffet, Chocolate Icecreams, Kofta Curry, Mutton Seekh Kabab, Paneer Curry, Mutton Keema","European, Mediterranean, North Indian, BBQ","5"
"The Globe Grub",1300,0,1,"Casual Dining","Buffet","BTM","Prawn, Shahi Tukda, Barfi, Veg Mushroom, Pizza, Momos, Masala Lemonade","Continental, North Indian, Asian, Italian","4"
"Punjabi by Nature 2.0",1600,1,1,"Casual Dining, Microbrewery","Buffet","BTM","Paneer Tikki, Mutton Raan, Mango Margarita, Craft Beer, Lamb, Kulcha, Kheer","North Indian","4"
"3B's - Buddies, Bar & Barbecues",1100,0,1,"Casual Dining, Bar","Buffet","BTM","Paan Ice Cream, Cocktails, Fish Grill, Crispy Corn, Butter Chicken, Phirni, Chicken Tikka","North Indian, Mediterranean, European, BBQ","4"
"Savoury Restaurant",800,1,0,"Casual Dining","Buffet","BTM","Shawarma, Bamboo Biryani, Chicken Shawarama, Chicken Grill, Chicken Kebab, Fish, Appam","Arabian, North Indian, Chinese, Fast Food","4"
"Sankranthi Veg Restaurant",600,1,0,"Casual Dining","Buffet","BTM","Tea, Vada Sambar, Masala Dosa","South Indian, North Indian, Chinese","3"
"Tangerine - Davanam Sarovar Portico Suites",1100,1,1,"Casual Dining","Buffet","BTM","Breakfast Buffet, Sushi, Cheesecake, Gulab Jamun, Lunch Buffet, Fish, Noodles","Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese","4"
"The Black Pearl",1400,0,1,"Casual Dining, Bar","Buffet","BTM","Chocolate Lollipop, Chocolate Biscuit, Fire Shots, Sangria, Chocolate Ganache, Paneer Makhani, Corn Fry","North Indian, European, Mediterranean","5"
"XOOX Brewmill",2000,0,1,"Microbrewery, Casual Dining","Buffet","BTM","Cocktails, Apple Cider, Craft Beer, Burgers, Stout, Seafood Salad, Noodles","Modern Indian, European, Asian","4"
"Buff Buffet Buff",1500,1,1,"Casual Dining, Bar","Buffet","BTM","Egg Chilli, Butter Naan, Watermelon Juice, Chocolate Halwa, Fry Prawns, Mocktails, Salads","North Indian, Chinese, Continental, Thai, Salad","5"
"Boho",1200,0,1,"Casual Dining","Buffet","BTM","Barbecue Chicken Wings, Chilli Paneer, Cocktails, Chicken Steak, Sangria, Spicy Chicken, Burgers","Continental, Asian, American, North Indian, Desserts","4"
"Deja Vu Resto Bar",900,1,1,"Pub","Buffet","BTM","Gajar Ka Halwa, Chilli Chicken, Hara Bhara Kebab, Custard, Brownie, Sev Puri, Pasta","North Indian, Italian","4"
"Barbeque Nation",1600,0,1,"Casual Dining","Buffet","BTM","Lunch Buffet, Goan Fish Curry, Mocktails, Chicken Biryani, Cocktails, Paan Kulfi, Pasta","North Indian, European, Mediterranean, BBQ, Kebab","5"
"Sultans of Spice",1300,1,1,"Casual Dining","Buffet","BTM","Jeera Rice, Mutton Chops, Chicken Salad, Vegetable Biryani, Zafrani Mutton Biryani, Mutton Seekh, Mutton Roganjosh","North Indian, Mughlai, Salad","5"
"Asia Kitchen By Mainland China",1500,1,1,"Casual Dining, Bar","Buffet","BTM","Noodles, Chicken Dim Sum, Pad Thai Noodle, Jumbo Prawns, Cocktails, Prawn Sushi, Treasure Soup","Asian, Chinese, Thai, Momos","5"
"Bonsouth",1300,1,1,"Casual Dining","Buffet","BTM","Coconut Payassam, Seafood Soup, Fish, Filter Kaapi, Tender Coconut Payasam, Mutton Curry, Mysore Masala Dosa","Chettinad, Andhra, Kerala","4"
"Village - The Soul of India",1000,0,1,"Casual Dining","Buffet","BTM","Chaat, Pav Bhaji, Pakoda, Phirni, Veg Buffet, Jalebi, Gulab Jamun","Rajasthani, Gujarati, North Indian, South Indian","4"
"Punjab Bistro",1500,1,1,"Casual Dining, Bar","Buffet","BTM","Chicken Shorba, Jumbo Prawns, Beer, Cocktails, Paan Shot, Butter Naan, Biryani","North Indian","4"
"Toscano",1500,1,1,"Casual Dining","Buffet","BTM","Pizza, Pasta, Cocktails, Spinach Ravioli, Tiramisu, Panna Cotta, Wine","Italian, Salad","5"
"By The Blue - Grand Mercure",1500,0,1,"Casual Dining","Buffet","BTM","Butter Naan, Mocktails, Cocktails, Sunday Brunch, Waffles, Gulab Jamun, Veg Platter","North Indian, Mughlai","4"
"Salt - Indian Restaurant Bar & Grill",1500,1,1,"Casual Dining","Buffet","BTM","Dahi Kebab, Lamb, Mocktails, Lassi, Vegetable Biryani, Galauti Kebab, Mutton Biryani","North Indian, Mughlai, Biryani","4"
"Oye Amritsar",600,1,1,"Casual Dining","Buffet","BTM","Lassi, Raita, Dal Makhani, Jalebi Rabri, Chaach, Hara Bhara Kabab, Lime Soda","North Indian","4"
"Hunan",1100,0,1,"Casual Dining","Buffet","BTM","Noodles, Chicken Momo, Momos, Lunch Buffet, Garlic Butter Noodle, Crab Soup, Jasmine Tea","Chinese, Thai, Momos","4"
"Empire Restaurant",750,1,0,"Casual Dining","Buffet","BTM","Brain Fry, Non Veg Thali, Peri Peri Chicken, Egg Biryani, Fruit Salad, Lassi, Jumbo Shawarma","North Indian, Mughlai, South Indian, Chinese","4"
"The Flying Trapeze",1500,0,1,"Lounge","Buffet","BTM","Friendly Staff","North Indian, Continental, Chinese",NA
"Naati Manae",700,1,1,"Casual Dining","Buffet","BTM","Chicken Chettinad, Donne Biryani, Chicken Guntur, Veg Thali, Gobi Tikka, Mutton Chops, Chicken Curry","North Indian, South Indian, Chinese, Biryani","4"
"Over The Top Terrace Lounge",1400,0,1,"Lounge","Buffet","BTM","Nachos, Pasta, Cocktails, Khamiri Roti, Beer, Lamb, Burgers","Continental, North Indian","4"
"Saara's Cafe - SS Lumina Hotel",800,0,1,"Casual Dining","Buffet","BTM","Baklava, Mutton Biryani, Salad, Rice Pudding, Jeera Rice, Fish, Panneer Butter Masala","North Indian, South Indian, Chinese, Arabian","4"
"Saara's Grill n Spice - SS Lumina Hotel",1000,0,1,"Casual Dining","Buffet","BTM","Baklava, Chicken Wings, Mutton Biryani, Pizza, Vegetable Biryani, Arabic Cuisine, Salad","North Indian, Arabian, Beverages","4"
"Nouvelle Garden",900,0,0,"Casual Dining","Buffet","BTM","Tiramisu, Pasta, Salads, Gulab Jamun, Butter Naan, Chicken Soup, Hyderabadi Biryani","North Indian, Continental, Italian","4"
"12th Main - Grand Mercure",2000,0,1,"Fine Dining","Buffet","BTM","Halwa, Waffles, Chaat, Pasta, Coffee, Creme Brulee, Salads","European, Asian","4"
"Embers - Nandhana Grand Hotel",900,0,0,"Casual Dining","Buffet","BTM","Biryani","North Indian, South Indian, Thai, Chinese, Continental","4"
"Spice Code",1000,0,1,"Casual Dining","Buffet","BTM","Fries, Lunch Buffet, Appam, Manchow Soup, Paneer Tikka, Vegetable Stew","South Indian, North Indian, Chinese, Biryani","4"
"Shri Madhuram",400,0,0,"Casual Dining","Buffet","BTM","Vada, Coffee, Breakfast Buffet, Thali, Idli, Onion Rava Masala Dosa, Pongal","South Indian, North Indian","4"
"The Onyx - The HHI Select Bengaluru",950,0,0,"Casual Dining","Buffet","BTM","Chaat, Custard, Fish, Pepper Chicken, Lunch Buffet, Chicken Tikka, Salads","North Indian, Chinese, Continental","3"
"Urban Spoon Buffet Restaurant",1000,0,1,"Casual Dining","Buffet","BTM","Courteous Staff","North Indian, Chinese","4"
"Mudpipe Cafe",900,1,1,"Cafe","Cafes","BTM","Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger","5"
"Ruh's Cafe",500,1,0,"Cafe","Cafes","BTM","Coffee, Pasta, Basil Pesto Chicken, Exotic Veg Pizza, Basil Soup, Nachos, Chicken Sizzler","Cafe, American, Italian, Continental, Chinese","4"
"Hang10 Resto N Cafe",700,1,0,"Cafe","Cafes","BTM","Burgers, Chicken Grill, Faluda, French Fries, Sandwich","Cafe, North Indian, Chinese","4"
"Bun Town",500,1,0,"Cafe, Bakery","Cafes","BTM","Tea, Chocolate Muffin, Veg Burger, Coffee, Burgers, Brownie, Donut","Cafe, Bakery","4"
"Kullad Cafe",200,1,0,"Cafe","Cafes","BTM","Tea, Paratha, Poha, Coffee, Chai, Sandwiches, Maggi","North Indian, Cafe, Fast Food, Beverages","4"
"On The Nose",600,1,0,"Cafe","Cafes","BTM","Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup","Cafe, Italian, Mexican, Chinese","4"
"Brewz Coffee",650,1,0,"Cafe","Cafes","BTM","Coffee, Sandwiches, Cappuccino","Cafe","3"
"Bakers Town",600,1,0,"Cafe","Cafes","BTM","Fries, Pasta, Chicken Burger, Sandwich, Burgers, Monster Burger","Cafe, Continental, Fast Food","4"
"Cafe Orio",400,0,0,"Cafe","Cafes","BTM","Sandwiches, Oreo Shake, Burgers, Pasta, Veg Burger, Paneer Tikka Sandwich, Oreo Milkshake","Cafe, Fast Food","4"
"De Street Cafe",500,0,0,"Cafe","Cafes","BTM","Pasta, Chicken Steak, Burgers, Cold Coffee, Shawarma, Honey Chilli Fries","Cafe","4"
"Biggies Burger 'n' More",650,1,0,"Cafe, Quick Bites","Cafes","BTM","Burgers, Fries, Hot Dog, Chicken Hotdog, Cuban Mojito, Cheese Burger, Grilled Burger","Cafe, Burger, Beverages","4"
"PHEW (Play Hard Eat Wild)",700,1,1,"Cafe","Cafes","BTM","Noodles, Shawarma, Brownie, Chicken Nachos, Veg Platter, Manchurian, Onion Rings","Continental, Lebanese, Middle Eastern, North Indian, Chinese, BBQ, Cafe","4"
"The 90s Hash House",500,0,0,"Cafe","Cafes","BTM","Burgers, Pasta, Hot Chocolate, Caramel Coffee","Cafe","4"
"Fabindia Cafe",200,0,0,"Cafe","Cafes","BTM","Paneer Roll, Masala Chai, Masala Tea, Aloo Paratha, Chaat, Brownie Chocolate, Methi Paratha","Cafe, Street Food","4"
"The Yogisthaan Cafe",600,1,0,"Cafe","Cafes","BTM","Paratha, Chai, Poha, Quinoa Burger","Cafe, Healthy Food, Salad, Beverages","4"
"Truffles",900,0,0,"Cafe, Casual Dining","Cafes","BTM","Burgers, Pasta, Cocktails, American Cheese Burger, Chicken Salad, Pancakes, Chocolate Dessert","Cafe, American, Burger, Steak","5"
"Dyu Art Cafe",800,0,0,"Cafe","Cafes","BTM","Coffee, Chocolate Mocha, Hot Chocolate, Chocolate Cake, Sandwiches, Pizza, Bannoffee Pie","Cafe, Italian, Fast Food","5"
"Om Made Cafe",1300,0,0,"Cafe","Cafes","BTM","Margarita, Pasta, Mocktails, Lemonade, Bruschettas, Salads, Spaghetti","Cafe, Continental, European, Juices","4"
"Sixth Avenue Cafe And Patisserie",600,0,0,"Cafe, Dessert Parlor","Cafes","BTM","Tea, Chocolate Bomb, Waffles, Mojito, Fries, Pasta Alfredo, Burgers","Cafe, Italian, Desserts","4"
"A Hole Lotta Love Cafe",600,1,0,"Cafe","Cafes","BTM","Burgers, Waffles, Pancakes, Chicken Lasagne, English Breakfast, Sandwiches, Pasta","Cafe, American, Burger, Sandwich, Beverages","4"
"Hungry Hippie",800,0,1,"Cafe","Cafes","BTM","Butter Chicken Pizza, Lamb Burger, Chicken Bao, Vegetable Moussaka, Peri Chicken, Pasta, Pink Lemonade","Cafe, Continental, Italian, Burger","4"
"Dice N Dine",900,1,1,"Casual Dining, Cafe","Cafes","BTM","Lasagne, Tiramisu, Virgin Mojito, Chicken Popcorn, Mocktails, Club Chicken Sandwich, Nachos","Continental, Cafe, Italian, Fast Food, Steak","4"
"Stoner",500,1,0,"Dessert Parlor, Cafe","Cafes","BTM","Burgers, Spinach Pizza, Butter Chicken Pizza, Chicken Bbq Burger, Tiramisu, Ferrero Rocher, Brownie Shake","Ice Cream, Cafe, Pizza, Burger, Desserts, Beverages","5"
"Nuts Over Salads Cafe",800,1,1,"Cafe","Cafes","BTM","Salad, Salads, Peri Peri Chicken, Broccoli Soup, Burgers, Steak, Brownie","Cafe, Salad","4"
"YORK St.",900,1,0,"Cafe","Cafes","BTM","Beef Steak, Custard, Burgers, Beef Stroganoff, Salad, Sandwich, Sandwiches","Cafe, European, Continental","4"
"Roundup Cafe",800,1,1,"Cafe","Cafes","BTM","Mocktails, Coffee, Salad, Barbecue Chicken Wings, Pizza, Meat Balls, Hot Chocolate","Cafe, Continental, Beverages","4"
"Lot Like Crepes",550,1,0,"Cafe, Dessert Parlor","Cafes","BTM","Paneer Peri Peri, Pancakes, Fajitas, Sweet Crepe, Peri Peri Chicken, Chicken Breast, Nutella Crepe","Cafe, Desserts, Continental","5"
"Enerjuvate Studio & Cafe",800,0,1,"Cafe","Cafes","BTM","Pizza, Healthy Breakfast, Momos, Enchiladas, Aloo Papdi Chaat, Coffee, Tea","Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages","4"
"Market Table",900,0,1,"Cafe","Cafes","BTM","Salads, Healthy Breakfast, Quinoa Salad, Frittata, Pancakes, Smoothie Chocolate, Wheat Roll","Cafe, Continental, Mediterranean, Beverages","5"
"Slate Cafe",600,1,0,"Cafe","Cafes","BTM","Sandwiches, Pasta, Pizza","Cafe, Sandwich, Burger","4"
"Mr. Beans - Home Cafe",1000,1,1,"Cafe","Cafes","BTM","Coffee, Pasta, Salads, Tiramisu, Pizza, Waffles, Pancakes","Cafe, Continental, Italian","4"
"154 Breakfast Club",900,1,1,"Cafe","Cafes","BTM","Pancakes, Waffles, Bbq Sandwich, Mushroom Ragout, Big Breakfast, Nutella Waffle, Omelette","Cafe, Continental","4"
"99 Pancakes",500,1,0,"Dessert Parlor, Cafe","Cafes","BTM","Pan Cake, Nutella Pancakes","Desserts, Cafe","5"
"Starbucks",700,0,0,"Cafe","Cafes","BTM","Hot Chocolate, Coffee Hazelnut, Caramel Frappuccino, Cappuccino, Mocha Frappuccino, Java Chip Frappuccino, Sandwiches","Cafe, Desserts","4"
"Cafe D'hide",600,1,1,"Cafe","Cafes","BTM","Pasta, Coffee, Buffalo Chicken Wings, Caesar Salad, Cheesy Fries, Mojito, Salads","Cafe, American, Continental, Italian","4"
"Cafe Medley",800,1,0,"Cafe","Cafes","BTM","Coffee, Burgers, Pasta, Sandwiches, Mudcake, Chicken Burger, Pizza","Cafe, Continental, Burger","4"
"Fresh Pressery Cafe",1200,1,0,"Cafe","Cafes","BTM","Salads, Chicken Sandwich, Brownie, Spaghetti, Arugula Salad, Cheesecake, Cheese Chilli Toast","Cafe, Healthy Food, Salad, Beverages, Desserts","4"
"The Vacationer's Cafe",600,1,0,"Cafe","Cafes","BTM","Nachos, Fries, Pasta, Sizzler Brownie, Masala Chai, Pizza, Burgers","Cafe, Continental, Mexican","4"
"Bistro Oui",1200,1,1,"Cafe, Bar","Cafes","BTM","Veg Burger, Pork Ribs, Pizza, Chicken Sandwich, Steak, Burgers, Mushroom Soup","Cafe, Continental, Salad, Steak","4"
"Smally's Resto Cafe",650,1,1,"Cafe","Cafes","BTM","Burgers, Pasta, Chocolate Mousse, Potato Wedges, Cup Cake, Cheesy Fries, Peri Peri Chicken","Cafe, Italian, Burger, American, Steak","4"
"D View Cafe",1000,1,0,"Cafe, Quick Bites","Cafes","BTM","Chicken Lollipop, Dragon Rolls, Pasta Alfredo, Chicken Pakora, Burgers, Cappuccino, Chicken Wings","Cafe, Italian, Chinese, Beverages","4"
"Crafted Plate",600,1,1,"Casual Dining, Cafe","Cafes","BTM","Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad","4"
"Smoor",900,1,0,"Dessert Parlor, Cafe","Cafes","BTM","Hot Chocolate, Sandwich, Sushi, Red Velvet, Pumpkin Ravioli, Cajun Fries, Gooey Chocolate Cake","Desserts, Cafe, Beverages","4"
"Onesta",600,1,1,"Casual Dining, Cafe","Cafes","BTM","Chicken Alfredo Pizza, Coffee Mousse, Chicken Calzone, Banana Smoothie, Butter Chicken Pizza, Chocolate Pizza, Chicken Tikka Pizza","Pizza, Cafe, Italian","4"
"Chai Galli",450,1,0,"Cafe","Cafes","BTM","Tea, Chai, Margherita Pizza, Sandwiches, Corn Sandwich, Paneer Parantha, Brownie","Cafe, Tea, Street Food","4"
"Willys Top Cafe",750,1,0,"Cafe","Cafes","BTM","Coffee Shake, Pasta, Buffalo Wings, Sandwich, Chicken Wings, Burgers, Fries","Cafe, Continental, Asian","4"
"Vitamin Palace",650,0,0,"Cafe","Cafes","BTM","Watermelon Juice, Burgers, Pasta, Faluda, Fruit Salad, Coffee, Sandwich","Cafe, Beverages, Healthy Food, Juices","4"
"WTF",600,1,0,"Cafe","Cafes","BTM","Cheesy Pizza, Cheese Pasta, Brownie Milkshake, Peri Peri Chicken, Nachos, Omelette, Peanut Butter Milkshake","Cafe, Continental","4"
"WAFL",400,1,0,"Food Court","Cafes","BTM","Waffles","Cafe, Fast Food, Desserts, Beverages","4"
"Billionaires Cafe",600,1,0,"Cafe","Cafes","BTM","Friendly Staff","Cafe, Italian","4"
"Vaho Kafe & Pressery",500,0,0,"Cafe","Cafes","BTM","Salad, Chicken Curry, Peri Peri Chicken, Thai Red Curry, Momos, Chicken Satay, Pasta","Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices","4"
"Maxpresso",700,1,0,"Cafe","Cafes","BTM","Burgers, Coffee, Waffles, Mocktails, Pasta, Brownie Chocolate, Chicken Salami","Cafe, American, Italian, Beverages","4"
"The Chocolate Room",400,1,0,"Food Court","Cafes","BTM","Brownie, Coffee, Hot Chocolate, Garlic Pops, Chocolate Waffles, Chocolate Avalanche","Cafe, Desserts","4"
"Kalmane Koffees",350,0,0,"Cafe","Cafes","BTM","Filter Coffee, Brownie Chocolate, Hot Chocolate, Hot Coffee, Chips, Cafe Mocha, Walnut Brownie","Cafe","4"
"Tella Tales",700,1,0,"Cafe","Cafes","BTM","Pancakes, Pasta, Burgers, Exotic Veg Pizza, Mushroom Steak, Sushi, Peri Fries","Cafe, Desserts, Beverages","4"
"Cafe Arabica",700,0,0,"Cafe, Bakery","Cafes","BTM","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery","4"
"Barista",300,0,0,"Cafe","Cafes","BTM","Coffee, Cappuccino, Sandwiches, Chicken Sandwich","Cafe","4"
"Tummy Fuel",400,1,0,"Cafe","Cafes","BTM","Sandwiches, Salads, Panipuri, Gol Gappe, Pizza Sandwich, Cheesy Pizza, Pancakes","Cafe, Beverages, Fast Food","4"
"Dhuaan",800,0,0,"Cafe","Cafes","BTM","Paneer Pizza, Oreo Shake","Cafe, Continental","4"
"Foodiesthan",600,1,0,"Cafe","Cafes","BTM","Masala Chai, Garlic Bread, Oreo Shake","Cafe, Fast Food, North Indian","4"
"Mug N Bean",400,1,0,"Cafe","Cafes","BTM","Maggi, Pasta, Burgers, Grilled Sandwich, Latte, French Fries","Cafe, Continental, Italian, Burger","4"
"Cafe Potpourri",400,1,0,"Cafe","Cafes","BTM","Poha, Coffee, Pav Bhaji, Masala Chai, Sattu Paratha, Sandwich","Cafe, Sandwich, North Indian, Beverages, Desserts","4"
"Woodee Pizza",500,1,0,"Cafe","Cafes","BTM","Pizza, Lemonade, Chilli Cheese Fries, Thick Shakes","Cafe, Pizza, Fast Food, Beverages","3"
"Cafe Mist",500,1,0,"Cafe","Cafes","BTM","Barbecue Chicken Burger, Coffee, Ice Tea, Peri Peri Chicken, Pasta, Maggi, Nachos","Cafe, American, Continental, Italian","4"
"eat.fit",500,1,0,"Delivery","Delivery","BTM","Healthy Breakfast, Salads, Date Pudding, Chicken Curry, Hakka Noodles, Fruit Bowl, Dal Makhani","Healthy Food, North Indian, Biryani, Continental, Sandwich, Desserts","5"
"Sardarji Londonwaley",450,1,0,"Delivery","Delivery","BTM","Dal Makhani, Kulcha, Makke Ki Roti, Butter Chicken, Garlic Naan, Tandoori Chicken, Palak Paneer","North Indian","4"
"FreshMenu",450,1,0,"Delivery","Delivery","BTM","Salads, Burgers, Sandwich, Pasta, Pizza, Rice Bowls, Biryani","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger","4"
"Swadista Aahar",300,1,0,"Quick Bites","Delivery","BTM","Panneer Butter Masala, Idli, Masala Dosa, Vada, Coffee, Roti, Thali","South Indian, North Indian, Chinese, Street Food","4"
"Hiyar Majhe Kolkata",400,1,0,"Quick Bites","Delivery","BTM","Radhaballavi, Biryani, Egg Noodles, Egg Roll, Fish Curry, Egg Devils, Thali","Bengali, North Indian","4"
"Corner House Ice Cream",400,1,0,"Dessert Parlor","Delivery","BTM","Hot Chocolate Fudge, Brownie Fudge, Thick Shakes, Fudge Cake","Ice Cream, Desserts","5"
"Kannur Food Point",200,1,0,"Quick Bites","Delivery","BTM","Roast Chicken","Kerala, North Indian","4"
"Hotel Manu",400,1,0,"Quick Bites","Delivery","BTM","Fish, Paratha","South Indian, Kerala, Chinese, North Indian","4"
"Chettayees",400,1,0,"Quick Bites","Delivery","BTM","Puttu Biryani, Egg Roast","Kerala, North Indian, Chinese","3"
